Artist Name,Artist Genre,Artist Subgenre,Origin Country,Day,Popularity,Top Track Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature,Unnamed: 19,Unnamed: 20
Kendrick Lamar,Hip Hop,conscious hip hop,U.S.,Wednesday,86,Money Trees,716,531,7,-7355,1,122,703,0,224,344,71994,386907,4,,
Kendrick Lamar,Hip Hop,conscious hip hop,U.S.,Wednesday,86,HUMBLE.,908,621,1,-6638,0,102,282,0.00539,958,421,150011,177000,4,,
Kendrick Lamar,Hip Hop,conscious hip hop,U.S.,Wednesday,86,All The Stars (with SZA),698,633,8,-4946,1,597,605,194,926,552,96924,232187,4,,
Kendrick Lamar,Hip Hop,conscious hip hop,U.S.,Wednesday,86,family ties (with Kendrick Lamar),711,611,1,-5453,1,33,588,0,23,144,134093,252262,4,,
Kendrick Lamar,Hip Hop,conscious hip hop,U.S.,Wednesday,86,LOVE. FEAT. ZACARI.,8,585,10,-7343,1,924,264,0,153,779,126058,213400,4,,
Queens of the Stone Age,Metal,alternative metal,U.S.,Wednesday,69,No One Knows,507,588,0,-4881,1,641,359,129,373,637,170889,278707,4,,
Queens of the Stone Age,Metal,alternative metal,U.S.,Wednesday,69,Go With The Flow,242,992,4,-39,0,988,148,113,833,374,15937,187120,4,,
Queens of the Stone Age,Metal,alternative metal,U.S.,Wednesday,69,Little Sister,364,959,1,-2956,1,627,113,953,411,927,161797,174027,4,,
Queens of the Stone Age,Metal,alternative metal,U.S.,Wednesday,69,Make It Wit Chu,704,811,9,-5308,1,277,355,189,13,578,9197,290493,4,,
Queens of the Stone Age,Metal,alternative metal,U.S.,Wednesday,69,I Sat by the Ocean,516,78,8,-4004,0,364,136,715,11,899,116794,235587,4,,
BlÃ¦st,Pop,danish pop,Denmark,Wednesday,45,Juice,76,658,0,-5966,1,773,99,0.000389,928,88,116017,160417,4,,
BlÃ¦st,Pop,danish pop,Denmark,Wednesday,45,All In (feat. Lamin),67,727,1,-5311,1,323,239,0,358,695,101709,176430,4,,
BlÃ¦st,Pop,danish pop,Denmark,Wednesday,45,Videre,79,612,1,-5449,0,384,22,0.000241,848,964,126055,181443,4,,
BlÃ¦st,Pop,danish pop,Denmark,Wednesday,45,Sover Du Nu,72,705,6,-446,0,65,421,0.000178,741,84,107915,188820,4,,
BlÃ¦st,Pop,danish pop,Denmark,Wednesday,45,Disko i KBH,867,59,9,-5313,0,45,164,0,34,897,115012,175426,4,,
Fever Ray,Electronic,alternative dance,Sweden,Wednesday,49,If I Had a Heart,403,241,4,-1617,1,296,789,792,108,138,170134,229933,4,,
Fever Ray,Electronic,alternative dance,Sweden,Wednesday,49,Keep the Streets Empty for Me,583,288,9,-11129,1,307,782,891,856,311,158036,339707,4,,
Fever Ray,Electronic,alternative dance,Sweden,Wednesday,49,When I Grow Up,546,63,0,-9674,1,505,37,443,138,551,184106,271280,4,,
Fever Ray,Electronic,alternative dance,Sweden,Wednesday,49,Kandy,603,415,11,-9728,0,702,126,211,8,335,169953,247499,4,,
Fever Ray,Electronic,alternative dance,Sweden,Wednesday,49,Shiver,682,64,2,-932,1,396,162,383,106,713,105979,275915,4,,
Lorna Shore,Metal,blackened deathcore,U.S.,Wednesday,58,To the Hellfire,388,83,3,-3035,0,922,0.00268,212,946,144,12998,369786,4,,
Lorna Shore,Metal,blackened deathcore,U.S.,Wednesday,58,Pain Remains I: Dancing Like Flames,29,799,1,-4361,0,679,166,894,594,351,125021,352560,4,,
Lorna Shore,Metal,blackened deathcore,U.S.,Wednesday,58,Of the Abyss,236,888,3,-3563,0,139,0.00031,457,11,107,130132,343033,4,,
Lorna Shore,Metal,blackened deathcore,U.S.,Wednesday,58,Sun//Eater,245,889,9,-3401,1,884,0.00093,835,239,52,139775,370493,4,,
Lorna Shore,Metal,blackened deathcore,U.S.,Wednesday,58,Pain Remains II: After All I've Done. I'll Disappear,33,862,4,-2611,0,637,0.00104,372,406,118,125031,336813,4,,
Rema,World,afrobeats,Nigeria,Wednesday,77,Calm Down (with Selena Gomez),799,802,11,-5196,1,371,429,128,171,811,107008,239318,4,,
Rema,World,afrobeats,Nigeria,Wednesday,77,BUBALU,786,803,6,-5232,0,72,135,0.000411,11,722,112007,228187,4,,
Rema,World,afrobeats,Nigeria,Wednesday,77,Calm Down,814,789,11,-629,1,405,365,502,137,842,107003,219669,4,,
Rema,World,afrobeats,Nigeria,Wednesday,77,Soweto (with Don Toliver. Rema & Tempoe),719,756,5,-5392,0,761,541,0,109,647,105024,219500,4,,
Rema,World,afrobeats,Nigeria,Wednesday,77,Charm,768,663,4,-6901,0,355,581,0,974,559,96039,204750,4,,
Villano Antillano,Hip Hop,rap boricua,Puerto Rico,Wednesday,59,Villano Antillano: Bzrp Music Sessions. Vol. 51,82,752,1,-7635,0,648,584,417,628,423,127999,187500,4,,
Villano Antillano,Hip Hop,rap boricua,Puerto Rico,Wednesday,59,Ride Or Die (with Villano Antillano),734,606,5,-6957,0,328,117,235,139,461,138001,184511,4,,
Villano Antillano,Hip Hop,rap boricua,Puerto Rico,Wednesday,59,Vendetta,854,642,10,-6393,1,214,532,0,888,502,121912,176261,4,,
Villano Antillano,Hip Hop,rap boricua,Puerto Rico,Wednesday,59,Besties - Remix,733,251,5,-13566,1,275,981,845,312,426,129918,27692,4,,
Villano Antillano,Hip Hop,rap boricua,Puerto Rico,Wednesday,59,CRUEL,823,782,0,-7058,0,118,161,327,873,686,128031,180000,4,,
abji_hypersun,Electronic,house,Denmark,Wednesday,2,Resist The God Trick,478,836,7,-9764,1,182,316,652,639,223,9317,515148,4,,
abji_hypersun,Electronic,house,Denmark,Wednesday,2,omen indeed,249,636,2,-10955,0,336,45,361,125,242,90059,373256,4,,
abji_hypersun,Electronic,house,Denmark,Wednesday,2,Changes,321,477,0,-12525,1,547,331,135,628,344,175047,166364,4,,
abji_hypersun,Electronic,house,Denmark,Wednesday,2,DOOSET DARAM (midooni?),263,572,3,-9219,1,448,589,133,781,239,101902,280526,3,,
abji_hypersun,Electronic,house,Denmark,Wednesday,2,Blessed,407,377,9,-10647,0,306,81,0.00242,148,121,147729,224417,4,,
Armand Hammer,Hip Hop,experimental hip hop,U.S.,Wednesday,45,Falling out the Sky,426,667,1,-884,1,319,742,601,943,685,89058,220353,3,,
Armand Hammer,Hip Hop,experimental hip hop,U.S.,Wednesday,45,Woke Up and Asked Siri How I'm Gonna Die,605,607,6,-10347,1,344,244,0,226,309,118554,161087,4,,
Armand Hammer,Hip Hop,experimental hip hop,U.S.,Wednesday,45,The Gods Must Be Crazy,495,673,6,-10409,0,404,238,544,214,343,103775,180772,4,,
Armand Hammer,Hip Hop,experimental hip hop,U.S.,Wednesday,45,Tabula Rasa (feat. Armand Hammer),55,62,10,-3774,0,118,409,0,175,582,112743,251800,4,,
Armand Hammer,Hip Hop,experimental hip hop,U.S.,Wednesday,45,Landlines,496,613,6,-12551,1,495,842,0,632,545,112282,178781,3,,
August Rosenbaum,Pop,danish indie pop,Denmark,Wednesday,29,Seconds,804,334,8,-13813,1,354,875,187,12,481,124995,169547,4,,
August Rosenbaum,Pop,danish indie pop,Denmark,Wednesday,29,Tidal Wave,639,24,8,-13075,0,283,882,983,987,297,93986,111064,4,,
August Rosenbaum,Pop,danish indie pop,Denmark,Wednesday,29,Nomad - Solo Piano,511,969,9,-29657,0,688,996,95,947,519,138497,148484,3,,
August Rosenbaum,Pop,danish indie pop,Denmark,Wednesday,29,Credo. Pt. II,331,253,10,-7845,1,318,73,25,259,176,117394,230512,1,,
August Rosenbaum,Pop,danish indie pop,Denmark,Wednesday,29,Wasa Stone Trio,359,408,5,-16578,0,977,967,935,175,37,87806,135062,5,,
Bala Desejo,,nova mpb,Brazil,Wednesday,37,Toda Beleza,435,33,11,-13662,0,58,844,15,133,659,115902,186383,4,,
Bala Desejo,,nova mpb,Brazil,Wednesday,37,Passarinha,665,661,7,-10169,0,508,668,271,116,698,92005,235437,4,,
Bala Desejo,,nova mpb,Brazil,Wednesday,37,Baile De Mï¿½scaras (Recarnaval),522,683,3,-8053,0,557,365,324,126,585,148027,303517,4,,
Bala Desejo,,nova mpb,Brazil,Wednesday,37,Lua Comanche,654,624,10,-8731,1,403,557,111,95,852,93012,215303,4,,
Bala Desejo,,nova mpb,Brazil,Wednesday,37,Dourado Dourado,51,548,7,-10052,1,644,487,367,935,527,139369,341000,4,,
Benny Jamz,Hip Hop,danish hip hop,Denmark,Wednesday,56,Under Radar,838,564,1,-6704,1,178,42,161,114,488,129938,190057,4,,
Benny Jamz,Hip Hop,danish hip hop,Denmark,Wednesday,56,Tudo Bem (feat. Gilli),869,652,0,-69,0,86,512,0.000351,274,567,128047,130494,4,,
Benny Jamz,Hip Hop,danish hip hop,Denmark,Wednesday,56,Ibiza,882,727,9,-6539,0,259,125,0,113,407,133131,219072,4,,
Benny Jamz,Hip Hop,danish hip hop,Denmark,Wednesday,56,Vise Dig Vejen (feat. Benny Jamz),75,474,11,-7539,1,132,472,0,171,663,97306,157206,4,,
Benny Jamz,Hip Hop,danish hip hop,Denmark,Wednesday,56,Ingen Som Os (feat. Benny Jamz & KESI),825,843,0,-4006,0,556,282,0.00284,1,583,119978,198140,4,,
Big Joanie,Punk,black punk,UK,Wednesday,25,Fall Asleep,559,974,9,-362,1,109,458,0.00247,205,605,137021,176617,4,,
Big Joanie,Punk,black punk,UK,Wednesday,25,Happier Still,188,692,9,-3989,0,406,0.00401,0,215,484,143394,160472,4,,
Big Joanie,Punk,black punk,UK,Wednesday,25,Down Down,457,507,10,-8523,1,341,102,941,416,45,153889,84677,4,,
Big Joanie,Punk,black punk,UK,Wednesday,25,Cranes In The Sky,57,719,10,-4982,1,265,281,275,109,426,93949,345428,4,,
Big Joanie,Punk,black punk,UK,Wednesday,25,Used To Be Friends,594,727,2,-5152,1,326,53,0,234,65,135061,128092,4,,
Biig Piig,,indie soul,Ireland,Wednesday,57,Sunny,722,53,9,-10673,0,118,846,822,778,846,103961,157333,4,,
Biig Piig,,indie soul,Ireland,Wednesday,57,Feels Right,811,452,7,-8676,1,115,162,305,12,556,121058,199006,4,,
Biig Piig,,indie soul,Ireland,Wednesday,57,Oh No,697,41,7,-9149,1,144,412,79,111,377,166133,164947,4,,
